Starting the training process ...
Total images: 60000
Total no. of batches: 469
torch.Size([128, 1, 28, 28])
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 16, 13, 13]             160
       BatchNorm2d-2           [-1, 16, 13, 13]              32
         LeakyReLU-3           [-1, 16, 13, 13]               0
            Conv2d-4             [-1, 32, 5, 5]          12,832
       BatchNorm2d-5             [-1, 32, 5, 5]              64
         LeakyReLU-6             [-1, 32, 5, 5]               0
            Conv2d-7             [-1, 64, 1, 1]          51,264
       BatchNorm2d-8             [-1, 64, 1, 1]             128
         LeakyReLU-9             [-1, 64, 1, 1]               0
          Flatten-10                   [-1, 64]               0
           Linear-11                    [-1, 1]              65
================================================================
Total params: 64,545
Trainable params: 64,545
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.08
Params size (MB): 0.25
Estimated Total Size (MB): 0.33
----------------------------------------------------------------
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
   ConvTranspose2d-1            [-1, 256, 3, 3]         147,712
       BatchNorm2d-2            [-1, 256, 3, 3]             512
              ReLU-3            [-1, 256, 3, 3]               0
   ConvTranspose2d-4            [-1, 128, 6, 6]         524,416
       BatchNorm2d-5            [-1, 128, 6, 6]             256
              ReLU-6            [-1, 128, 6, 6]               0
   ConvTranspose2d-7           [-1, 64, 13, 13]          73,792
       BatchNorm2d-8           [-1, 64, 13, 13]             128
              ReLU-9           [-1, 64, 13, 13]               0
  ConvTranspose2d-10            [-1, 1, 28, 28]           1,025
             Tanh-11            [-1, 1, 28, 28]               0
================================================================
Total params: 747,841
Trainable params: 747,841
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.42
Params size (MB): 2.85
Estimated Total Size (MB): 3.27
----------------------------------------------------------------
Epoch: 1/5000 | D loss: 0.6861 | G loss: 0.7101
Epoch: 2/5000 | D loss: 0.6720 | G loss: 0.7163
Epoch: 3/5000 | D loss: 0.6226 | G loss: 0.7707
Epoch: 4/5000 | D loss: 0.5747 | G loss: 0.8387
Epoch: 5/5000 | D loss: 0.5348 | G loss: 0.9132
Epoch: 6/5000 | D loss: 0.5128 | G loss: 0.9719
Epoch: 7/5000 | D loss: 0.5084 | G loss: 1.0053
Epoch: 8/5000 | D loss: 0.5215 | G loss: 1.0118
Epoch: 9/5000 | D loss: 0.5340 | G loss: 1.0107
Epoch: 10/5000 | D loss: 0.5447 | G loss: 1.0000
Epoch: 11/5000 | D loss: 0.5537 | G loss: 0.9967
Epoch: 12/5000 | D loss: 0.5595 | G loss: 0.9915
Epoch: 13/5000 | D loss: 0.5655 | G loss: 0.9822
Epoch: 14/5000 | D loss: 0.5709 | G loss: 0.9841
Epoch: 15/5000 | D loss: 0.5779 | G loss: 0.9759
Epoch: 16/5000 | D loss: 0.5784 | G loss: 0.9684
Epoch: 17/5000 | D loss: 0.5833 | G loss: 0.9691
Epoch: 18/5000 | D loss: 0.5833 | G loss: 0.9694
Epoch: 19/5000 | D loss: 0.5863 | G loss: 0.9642
Epoch: 20/5000 | D loss: 0.5885 | G loss: 0.9613
Epoch: 21/5000 | D loss: 0.5878 | G loss: 0.9637
Epoch: 22/5000 | D loss: 0.5880 | G loss: 0.9632
Epoch: 23/5000 | D loss: 0.5879 | G loss: 0.9609
Epoch: 24/5000 | D loss: 0.5915 | G loss: 0.9649
Epoch: 25/5000 | D loss: 0.5896 | G loss: 0.9679
Epoch: 26/5000 | D loss: 0.5915 | G loss: 0.9656
Epoch: 27/5000 | D loss: 0.5926 | G loss: 0.9629
Epoch: 28/5000 | D loss: 0.5953 | G loss: 0.9613
Epoch: 29/5000 | D loss: 0.5941 | G loss: 0.9645
Epoch: 30/5000 | D loss: 0.5914 | G loss: 0.9741
Epoch: 31/5000 | D loss: 0.5923 | G loss: 0.9678
Epoch: 32/5000 | D loss: 0.5936 | G loss: 0.9684
Epoch: 33/5000 | D loss: 0.5904 | G loss: 0.9707
Epoch: 34/5000 | D loss: 0.5911 | G loss: 0.9757
Epoch: 35/5000 | D loss: 0.5881 | G loss: 0.9764
Epoch: 36/5000 | D loss: 0.5861 | G loss: 0.9892
Epoch: 37/5000 | D loss: 0.5847 | G loss: 0.9936
Epoch: 38/5000 | D loss: 0.5817 | G loss: 1.0007
Epoch: 39/5000 | D loss: 0.5777 | G loss: 1.0084
Epoch: 40/5000 | D loss: 0.5774 | G loss: 1.0099
Epoch: 41/5000 | D loss: 0.5760 | G loss: 1.0212
Epoch: 42/5000 | D loss: 0.5748 | G loss: 1.0297
Epoch: 43/5000 | D loss: 0.5711 | G loss: 1.0312
Epoch: 44/5000 | D loss: 0.5742 | G loss: 1.0326
Epoch: 45/5000 | D loss: 0.5736 | G loss: 1.0287
Epoch: 46/5000 | D loss: 0.5714 | G loss: 1.0350
Epoch: 47/5000 | D loss: 0.5749 | G loss: 1.0383
Epoch: 48/5000 | D loss: 0.5722 | G loss: 1.0438
Epoch: 49/5000 | D loss: 0.5733 | G loss: 1.0392
Epoch: 50/5000 | D loss: 0.5730 | G loss: 1.0457
Epoch: 51/5000 | D loss: 0.5720 | G loss: 1.0452
Epoch: 52/5000 | D loss: 0.5742 | G loss: 1.0479
Epoch: 53/5000 | D loss: 0.5714 | G loss: 1.0559
