"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","lr","test_accuracy","train/epoch","train/example_ct","train/train_loss","val/val_accuracy","val/val_loss"
"sage-sweep-36","finished","-","prakhars962","","2023-08-31T11:07:44.000Z","551","6m61zudj","128","0.8","300","0.00001","0.8","300","3600000","0.4048408567905426","0.929","0.23177769780158997"
"lucky-sweep-35","finished","-","prakhars962","","2023-08-31T11:01:33.000Z","558","6m61zudj","128","0.8","300","0.0001","0.8","300","3600000","0.05448206886649132","0.939","0.22550398111343384"
"winter-sweep-34","finished","-","prakhars962","","2023-08-31T10:22:54.000Z","2672","6m61zudj","128","0.8","300","0.001","0.8","300","3600000","0.06993832439184189","0.9595","0.23142777383327484"
"sleek-sweep-33","finished","-","prakhars962","","2023-08-31T10:21:43.000Z","2996","6m61zudj","128","0.8","500","0.00001","0.8","500","6000000","0.22457320988178253","0.935","0.20792128145694733"
"earnest-sweep-32","finished","-","prakhars962","","2023-08-31T10:21:08.000Z","2980","6m61zudj","128","0.8","500","0.0001","0.8","500","6000000","0.05341509357094765","0.945","0.25087717175483704"
"spring-sweep-31","finished","-","prakhars962","","2023-08-31T10:14:01.000Z","2834","6m61zudj","128","0.8","500","0.001","0.8","500","6000000","0.12151715904474258","0.9535","0.2884508967399597"
"lilac-sweep-30","finished","-","prakhars962","","2023-08-31T10:10:35.000Z","199","6m61zudj","128","0.8","100","0.00001","0.8","100","1200000","0.523141086101532","0.9115","0.32582277059555054"
"firm-sweep-29","finished","-","prakhars962","","2023-08-31T10:07:08.000Z","199","6m61zudj","128","0.8","100","0.0001","0.8","100","1200000","0.16955582797527313","0.938","0.1972997933626175"
"hearty-sweep-28","finished","-","prakhars962","","2023-08-31T10:03:41.000Z","200","6m61zudj","128","0.8","100","0.001","0.8","100","1200000","0.17395462095737457","0.9565","0.17782503366470337"
"glorious-sweep-27","finished","-","prakhars962","","2023-08-31T09:54:23.000Z","552","6m61zudj","128","0.5","300","0.00001","0.8","300","3600000","0.1603582352399826","0.9375","0.1874091923236847"
"dashing-sweep-26","finished","-","prakhars962","","2023-08-31T09:45:03.000Z","552","6m61zudj","128","0.5","300","0.0001","0.8","300","3600000","0.0053575593046844006","0.947","0.23361286520957947"
"bright-sweep-25","finished","-","prakhars962","","2023-08-31T09:35:47.000Z","547","6m61zudj","128","0.5","300","0.001","0.8","300","3600000","0.00004452060602488927","0.9625","0.25363147258758545"
"hardy-sweep-24","finished","-","prakhars962","","2023-08-31T09:35:30.000Z","2829","6m61zudj","128","0.5","500","0.00001","0.8","500","6000000","0.034597061574459076","0.9435","0.1723775714635849"
"twilight-sweep-23","finished","-","prakhars962","","2023-08-31T09:34:46.000Z","2798","6m61zudj","128","0.5","500","0.0001","0.8","500","6000000","0.0009781565750017762","0.948","0.2431969493627548"
"hardy-sweep-22","finished","-","prakhars962","","2023-08-31T09:34:14.000Z","2799","6m61zudj","128","0.5","500","0.001","0.8","500","6000000","0.000026232934033032507","0.963","0.2530665993690491"
"astral-sweep-21","finished","-","prakhars962","","2023-08-31T09:32:03.000Z","198","6m61zudj","128","0.5","100","0.00001","0.8","100","1200000","0.2618166506290436","0.9265","0.26382410526275635"
"soft-sweep-20","finished","-","prakhars962","","2023-08-31T09:31:30.000Z","191","6m61zudj","128","0.5","100","0.0001","0.8","100","1200000","0.03407822176814079","0.948","0.18259857594966888"
